[17,54), State-gov, 77516, [HS-Grad,Doctorate], 13, Not Married, Adm-clerical, Not-in-family, *, Male, 2174, 0, 40, United-States
[17,54), Self-emp-not-inc, 88506, [HS-Grad,Doctorate], 13, Married, Prof-specialty, Husband, *, Male, 0, 0, 40, United-States
[17,54), Private, 172987, [HS-Grad,Doctorate], 13, Married, Tech-support, Husband, *, Male, 0, 0, 50, United-States
[17,54), Private, 94638, [HS-Grad,Doctorate], 9, Not Married, Adm-clerical, Unmarried, *, Female, 0, 0, 40, United-States
[17,54), Private, 289980, [HS-Grad,Doctorate], 9, Not Married, Handlers-cleaners, Not-in-family, *, Male, 0, 0, 35, United-States
[54,90], Federal-gov, 337895, [HS-Grad,Doctorate], 13, Married, Prof-specialty, Husband, *, Male, 0, 0, 40, United-States
[17,54), Private, 144361, [HS-Grad,Doctorate], 9, Married, Machine-op-inspct, Husband, *, Male, 0, 0, 38, United-States
[17,54), Private, 128354, [HS-Grad,Doctorate], 14, Not Married, Exec-managerial, Unmarried, *, Female, 0, 0, 40, United-States
[17,54), State-gov, 101603, [HS-Grad,Doctorate], 11, Married, Craft-repair, Husband, *, Male, 0, 0, 40, United-States
[17,54), Private, 271466, [HS-Grad,Doctorate], 11, Not Married, Prof-specialty, Not-in-family, *, Male, 0, 0, 43, United-States
[17,54), Private, 32275, [HS-Grad,Doctorate], 10, Married, Exec-managerial, Wife, *, Female, 0, 0, 40, United-States
[17,54), Private, 226956, [HS-Grad,Doctorate], 9, Not Married, Other-service, Own-child, *, Female, 0, 0, 30, ?
[17,54), Private, 51835, [HS-Grad,Doctorate], 15, Married, Prof-specialty, Wife, *, Female, 0, 1902, 60, Honduras
[17,54), Federal-gov, 251585, [HS-Grad,Doctorate], 13, Not Married, Exec-managerial, Not-in-family, *, Male, 0, 0, 55, United-States
[17,54), Self-emp-inc, 109832, [HS-Grad,Doctorate], 9, Not Married, Exec-managerial, Not-in-family, *, Male, 0, 0, 60, United-States
[17,54), Private, 237993, [HS-Grad,Doctorate], 10, Married, Tech-support, Husband, *, Male, 0, 0, 40, United-States
[17,54), Private, 216666, [Preschool,12th], 3, Married, Machine-op-inspct, Husband, *, Male, 0, 0, 40, Mexico
[17,54), Private, 56352, [HS-Grad,Doctorate], 11, Married, Other-service, Husband, *, Male, 0, 0, 40, Puerto-Rico
[17,54), Private, 147372, [HS-Grad,Doctorate], 9, Married, Adm-clerical, Husband, *, Male, 0, 0, 48, United-States
[17,54), Private, 188146, [HS-Grad,Doctorate], 9, Married, Machine-op-inspct, Husband, *, Male, 5013, 0, 40, United-States
[17,54), Private, 59496, [HS-Grad,Doctorate], 13, Married, Sales, Husband, *, Male, 2407, 0, 40, United-States
[17,54), ?, 293936, [Preschool,12th], 4, Married, ?, Not-in-family, *, Male, 0, 0, 40, ?
[17,54), Private, 149640, [HS-Grad,Doctorate], 9, Married, Transport-moving, Husband, *, Male, 0, 0, 40, United-States
[17,54), Private, 116632, [HS-Grad,Doctorate], 16, Married, Prof-specialty, Husband, *, Male, 0, 0, 45, United-States
[17,54), Private, 105598, [HS-Grad,Doctorate], 10, Not Married, Tech-support, Not-in-family, *, Male, 0, 0, 58, United-States
[17,54), Private, 155537, [HS-Grad,Doctorate], 9, Married, Craft-repair, Husband, *, Male, 0, 0, 40, United-States
[17,54), Private, 183175, [HS-Grad,Doctorate], 10, Not Married, Adm-clerical, Not-in-family, *, Female, 0, 0, 40, United-States
[17,54), Private, 169846, [HS-Grad,Doctorate], 9, Married, Adm-clerical, Wife, *, Female, 0, 0, 40, United-States
[17,54), Self-emp-inc, 191681, [HS-Grad,Doctorate], 10, Married, Exec-managerial, Husband, *, Male, 0, 0, 50, United-States
[17,54), ?, 200681, [HS-Grad,Doctorate], 10, Not Married, ?, Own-child, *, Male, 0, 0, 40, United-States
[17,54), Private, 101509, [HS-Grad,Doctorate], 10, Not Married, Prof-specialty, Own-child, *, Male, 0, 0, 32, United-States
[17,54), Private, 309974, [HS-Grad,Doctorate], 13, Not Married, Sales, Own-child, *, Female, 0, 0, 40, United-States
[17,54), Self-emp-not-inc, 162298, [HS-Grad,Doctorate], 13, Married, Sales, Husband, *, Male, 0, 0, 70, United-States
[17,54), Private, 211678, [HS-Grad,Doctorate], 10, Not Married, Machine-op-inspct, Not-in-family, *, Male, 0, 0, 40, United-States
[54,90], Private, 124744, [HS-Grad,Doctorate], 10, Married, Prof-specialty, Other-relative, *, Male, 0, 0, 20, United-States
[17,54), Private, 213921, [HS-Grad,Doctorate], 9, Not Married, Other-service, Own-child, *, Male, 0, 0, 40, Mexico
[17,54), Private, 32214, [HS-Grad,Doctorate], 12, Married, Adm-clerical, Husband, *, Male, 0, 0, 40, United-States
[54,90], ?, 212759, [Preschool,12th], 6, Married, ?, Husband, *, Male, 0, 0, 2, United-States
[17,54), Private, 309634, [Preschool,12th], 7, Not Married, Other-service, Own-child, *, Female, 0, 0, 22, United-States
[17,54), Local-gov, 125927, [Preschool,12th], 4, Married, Farming-fishing, Husband, *, Male, 0, 0, 40, United-States
[17,54), Private, 446839, [HS-Grad,Doctorate], 9, Not Married, Sales, Not-in-family, *, Male, 0, 0, 30, United-States
[17,54), Private, 276515, [HS-Grad,Doctorate], 13, Married, Other-service, Husband, *, Male, 0, 0, 40, Cuba
[17,54), Private, 51618, [HS-Grad,Doctorate], 9, Married, Other-service, Wife, *, Female, 0, 0, 40, United-States
[54,90], Private, 159937, [HS-Grad,Doctorate], 9, Married, Sales, Husband, *, Male, 0, 0, 48, United-States
[17,54), Private, 343591, [HS-Grad,Doctorate], 9, Not Married, Craft-repair, Not-in-family, *, Female, 14344, 0, 40, United-States
[17,54), Private, 346253, [HS-Grad,Doctorate], 9, Not Married, Sales, Own-child, *, Female, 0, 0, 35, United-States
[17,54), Local-gov, 268234, [HS-Grad,Doctorate], 9, Married, Protective-serv, Husband, *, Male, 0, 0, 40, United-States
[17,54), Private, 202051, [HS-Grad,Doctorate], 14, Married, Prof-specialty, Husband, *, Male, 0, 0, 50, United-States
[17,54), Private, 54334, [Preschool,12th], 5, Not Married, Sales, Not-in-family, *, Male, 0, 0, 40, United-States
[17,54), Federal-gov, 410867, [HS-Grad,Doctorate], 16, Not Married, Prof-specialty, Not-in-family, *, Female, 0, 0, 50, United-States
[54,90], Private, 249977, [HS-Grad,Doctorate], 11, Married, Prof-specialty, Husband, *, Male, 0, 0, 40, United-States
[17,54), Private, 286730, [HS-Grad,Doctorate], 10, Not Married, Craft-repair, Unmarried, *, Female, 0, 0, 40, United-States
[17,54), Private, 212563, [HS-Grad,Doctorate], 10, Not Married, Machine-op-inspct, Unmarried, *, Female, 0, 0, 25, United-States
[17,54), Private, 117747, [HS-Grad,Doctorate], 9, Married, Sales, Wife, *, Female, 0, 1573, 35, ?
[17,54), Local-gov, 226296, [HS-Grad,Doctorate], 13, Married, Protective-serv, Husband, *, Male, 0, 0, 40, United-States
[17,54), Local-gov, 115585, [HS-Grad,Doctorate], 10, Not Married, Handlers-cleaners, Not-in-family, *, Male, 0, 0, 50, United-States
[17,54), Self-emp-not-inc, 191277, [HS-Grad,Doctorate], 16, Married, Prof-specialty, Husband, *, Male, 0, 1902, 60, United-States
[17,54), Private, 202683, [HS-Grad,Doctorate], 10, Married, Sales, Husband, *, Male, 0, 0, 48, United-States
[17,54), Private, 171095, [HS-Grad,Doctorate], 12, Not Married, Exec-managerial, Unmarried, *, Female, 0, 0, 40, England
[17,54), Federal-gov, 249409, [HS-Grad,Doctorate], 9, Not Married, Other-service, Own-child, *, Male, 0, 0, 40, United-States
[54,90], Private, 124191, [HS-Grad,Doctorate], 14, Married, Exec-managerial, Husband, *, Male, 0, 0, 40, United-States
[17,54), Private, 198282, [HS-Grad,Doctorate], 13, Married, Exec-managerial, Husband, *, Male, 15024, 0, 60, United-States
[17,54), Self-emp-not-inc, 149116, [HS-Grad,Doctorate], 14, Not Married, Prof-specialty, Not-in-family, *, Female, 0, 0, 50, United-States
[17,54), Private, 188300, [HS-Grad,Doctorate], 10, Not Married, Tech-support, Own-child, *, Female, 0, 0, 40, United-States
[17,54), Private, 103432, [HS-Grad,Doctorate], 9, Not Married, Craft-repair, Not-in-family, *, Male, 0, 0, 40, United-States
[17,54), Self-emp-inc, 317660, [HS-Grad,Doctorate], 9, Married, Craft-repair, Husband, *, Male, 7688, 0, 40, United-States
[17,54), ?, 304873, [Preschool,12th], 6, Not Married, ?, Own-child, *, Female, 34095, 0, 32, United-States
[17,54), Private, 194901, [Preschool,12th], 7, Not Married, Handlers-cleaners, Own-child, *, Male, 0, 0, 40, United-States
[17,54), Local-gov, 189265, [HS-Grad,Doctorate], 9, Not Married, Adm-clerical, Not-in-family, *, Female, 0, 0, 40, United-States
[17,54), Private, 124692, [HS-Grad,Doctorate], 9, Married, Handlers-cleaners, Husband, *, Male, 0, 0, 40, United-States
[17,54), Private, 432376, [HS-Grad,Doctorate], 13, Not Married, Sales, Other-relative, *, Male, 0, 0, 40, United-States
[17,54), Private, 65324, [HS-Grad,Doctorate], 15, Married, Prof-specialty, Husband, *, Male, 0, 0, 40, United-States
[54,90], Self-emp-not-inc, 335605, [HS-Grad,Doctorate], 9, Married, Other-service, Husband, *, Male, 0, 1887, 50, Canada
[17,54), Private, 377869, [HS-Grad,Doctorate], 10, Married, Sales, Wife, *, Female, 4064, 0, 25, United-States
[17,54), Private, 102864, [HS-Grad,Doctorate], 9, Not Married, Machine-op-inspct, Own-child, *, Female, 0, 0, 40, United-States
[17,54), Private, 95647, [Preschool,12th], 5, Married, Handlers-cleaners, Husband, *, Male, 0, 0, 50, United-States
[54,90], Self-emp-inc, 303090, [HS-Grad,Doctorate], 10, Married, Sales, Husband, *, Male, 0, 0, 50, United-States
[17,54), Local-gov, 197371, [HS-Grad,Doctorate], 11, Married, Craft-repair, Husband, *, Male, 0, 0, 40, United-States
[54,90], Private, 247552, [HS-Grad,Doctorate], 10, Married, Sales, Husband, *, Male, 0, 0, 56, United-States
[17,54), Private, 102632, [HS-Grad,Doctorate], 9, Not Married, Craft-repair, Not-in-family, *, Male, 0, 0, 41, United-States
[17,54), Private, 199915, [HS-Grad,Doctorate], 10, Not Married, Other-service, Own-child, *, Female, 0, 0, 40, United-States
[17,54), Private, 118853, [HS-Grad,Doctorate], 13, Married, Exec-managerial, Husband, *, Male, 0, 0, 60, United-States
[17,54), Private, 77143, [HS-Grad,Doctorate], 13, Not Married, Exec-managerial, Own-child, *, Male, 0, 0, 40, Germany
[17,54), State-gov, 267989, [HS-Grad,Doctorate], 13, Married, Prof-specialty, Husband, *, Male, 0, 0, 50, United-States
[17,54), Private, 301606, [HS-Grad,Doctorate], 10, Not Married, Other-service, Own-child, *, Male, 0, 0, 35, United-States
[17,54), Private, 287828, [HS-Grad,Doctorate], 13, Married, Exec-managerial, Wife, *, Female, 0, 0, 40, United-States
[17,54), Private, 111697, [HS-Grad,Doctorate], 10, Not Married, Adm-clerical, Own-child, *, Female, 0, 1719, 28, United-States
[17,54), Private, 114937, [HS-Grad,Doctorate], 12, Married, Adm-clerical, Husband, *, Male, 0, 0, 40, United-States
[17,54), ?, 129305, [HS-Grad,Doctorate], 9, Married, ?, Husband, *, Male, 0, 0, 40, United-States
[17,54), Private, 365739, [HS-Grad,Doctorate], 10, Not Married, Craft-repair, Not-in-family, *, Male, 0, 0, 40, United-States
[17,54), Private, 69621, [HS-Grad,Doctorate], 12, Not Married, Sales, Not-in-family, *, Female, 0, 0, 60, United-States
[17,54), Private, 43323, [HS-Grad,Doctorate], 9, Not Married, Other-service, Not-in-family, *, Female, 0, 1762, 40, United-States
[17,54), Self-emp-not-inc, 120985, [HS-Grad,Doctorate], 9, Married, Craft-repair, Husband, *, Male, 4386, 0, 35, United-States
[17,54), Private, 254202, [HS-Grad,Doctorate], 13, Married, Sales, Husband, *, Male, 0, 0, 50, United-States
[17,54), Private, 146195, [HS-Grad,Doctorate], 12, Not Married, Tech-support, Not-in-family, *, Female, 0, 0, 36, United-States
[17,54), Federal-gov, 125933, [HS-Grad,Doctorate], 14, Married, Prof-specialty, Husband, *, Male, 0, 0, 40, Iran
[17,54), Self-emp-not-inc, 56920, [HS-Grad,Doctorate], 9, Married, Craft-repair, Husband, *, Male, 0, 0, 60, United-States
[17,54), Private, 163127, [HS-Grad,Doctorate], 11, Married, Adm-clerical, Wife, *, Female, 0, 0, 35, United-States
[17,54), Private, 34310, [HS-Grad,Doctorate], 10, Not Married, Sales, Own-child, *, Male, 0, 0, 20, United-States
[17,54), Private, 81973, [HS-Grad,Doctorate], 10, Married, Craft-repair, Husband, *, Male, 0, 0, 40, United-States
[54,90], Self-emp-inc, 66614, [HS-Grad,Doctorate], 9, Married, Craft-repair, Husband, *, Male, 0, 0, 40, United-States
[17,54), Private, 232782, [HS-Grad,Doctorate], 10, Not Married, Sales, Own-child, *, Female, 0, 0, 40, United-States
[17,54), Private, 316868, [HS-Grad,Doctorate], 10, Not Married, Other-service, Own-child, *, Male, 0, 0, 30, Mexico
[17,54), Private, 196584, [HS-Grad,Doctorate], 11, Not Married, Prof-specialty, Not-in-family, *, Female, 0, 1564, 40, United-States
[54,90], Private, 105376, [HS-Grad,Doctorate], 10, Not Married, Tech-support, Other-relative, *, Male, 0, 0, 40, United-States
[17,54), Private, 185814, [HS-Grad,Doctorate], 9, Not Married, Transport-moving, Unmarried, *, Female, 0, 0, 30, United-States
[17,54), Private, 175374, [HS-Grad,Doctorate], 10, Married, Other-service, Husband, *, Male, 0, 0, 24, United-States
[17,54), Private, 108293, [HS-Grad,Doctorate], 9, Not Married, Other-service, Unmarried, *, Female, 0, 0, 24, United-States
[54,90], Private, 181232, [Preschool,12th], 7, Married, Craft-repair, Husband, *, Male, 0, 2179, 40, United-States
[17,54), ?, 174662, [HS-Grad,Doctorate], 10, Not Married, ?, Not-in-family, *, Female, 0, 0, 40, United-States
[17,54), Local-gov, 186009, [HS-Grad,Doctorate], 10, Not Married, Adm-clerical, Unmarried, *, Female, 0, 0, 38, Mexico
[17,54), Private, 198183, [HS-Grad,Doctorate], 9, Not Married, Adm-clerical, Not-in-family, *, Female, 0, 0, 40, United-States
[17,54), Private, 163003, [HS-Grad,Doctorate], 13, Not Married, Exec-managerial, Other-relative, *, Female, 0, 0, 40, Philippines
[17,54), Private, 296158, [HS-Grad,Doctorate], 9, Not Married, Craft-repair, Own-child, *, Male, 0, 0, 35, United-States
[17,54), ?, 252903, [HS-Grad,Doctorate], 9, Not Married, ?, Not-in-family, *, Male, 0, 0, 45, United-States
[17,54), Private, 187715, [HS-Grad,Doctorate], 9, Married, Craft-repair, Husband, *, Male, 0, 0, 46, United-States
[17,54), Private, 214542, [HS-Grad,Doctorate], 13, Not Married, Handlers-cleaners, Not-in-family, *, Male, 0, 0, 40, United-States
[54,90], Self-emp-not-inc, 494223, [HS-Grad,Doctorate], 10, Not Married, Sales, Unmarried, *, Male, 0, 1816, 2, United-States
[17,54), Private, 191535, [HS-Grad,Doctorate], 9, Not Married, Craft-repair, Not-in-family, *, Male, 0, 0, 60, United-States
[17,54), Private, 228456, [HS-Grad,Doctorate], 13, Not Married, Other-service, Other-relative, *, Male, 0, 0, 50, United-States
[54,90], ?, 38317, [Preschool,12th], 2, Not Married, ?, Not-in-family, *, Female, 0, 0, 20, United-States
[17,54), Private, 252752, [HS-Grad,Doctorate], 9, Not Married, Other-service, Unmarried, *, Female, 0, 0, 40, United-States
[17,54), Self-emp-inc, 78374, [HS-Grad,Doctorate], 14, Not Married, Exec-managerial, Unmarried, *, Female, 0, 0, 40, United-States
[17,54), Private, 88419, [HS-Grad,Doctorate], 9, Not Married, Exec-managerial, Not-in-family, *, Female, 0, 0, 40, England
[17,54), Self-emp-not-inc, 201080, [HS-Grad,Doctorate], 14, Married, Sales, Husband, *, Male, 0, 0, 40, United-States
[17,54), Private, 207157, [HS-Grad,Doctorate], 10, Not Married, Other-service, Unmarried, *, Female, 0, 0, 40, Mexico
[17,54), Federal-gov, 235485, [HS-Grad,Doctorate], 12, Not Married, Exec-managerial, Not-in-family, *, Male, 0, 0, 42, United-States
[17,54), State-gov, 102628, [HS-Grad,Doctorate], 14, Not Married, Protective-serv, Unmarried, *, Male, 0, 0, 40, United-States
[17,54), Private, 25828, [Preschool,12th], 7, Not Married, Handlers-cleaners, Own-child, *, Male, 0, 0, 16, United-States
[54,90], Local-gov, 54826, [HS-Grad,Doctorate], 11, Not Married, Prof-specialty, Not-in-family, *, Female, 0, 0, 20, United-States
[17,54), Private, 124953, [HS-Grad,Doctorate], 9, Not Married, Other-service, Not-in-family, *, Male, 0, 1980, 40, United-States
[17,54), State-gov, 175325, [HS-Grad,Doctorate], 9, Married, Protective-serv, Husband, *, Male, 0, 0, 40, United-States
[17,54), Private, 96062, [HS-Grad,Doctorate], 10, Married, Sales, Husband, *, Male, 0, 1977, 40, United-States
[17,54), Private, 428030, [HS-Grad,Doctorate], 13, Not Married, Craft-repair, Not-in-family, *, Male, 0, 0, 50, United-States
[17,54), State-gov, 149624, [HS-Grad,Doctorate], 13, Married, Prof-specialty, Husband, *, Male, 0, 0, 40, United-States
[17,54), Private, 253814, [HS-Grad,Doctorate], 9, Married, Sales, Unmarried, *, Female, 0, 0, 25, United-States
[17,54), Private, 312956, [HS-Grad,Doctorate], 9, Not Married, Craft-repair, Own-child, *, Male, 0, 0, 40, United-States
[17,54), Private, 483777, [HS-Grad,Doctorate], 9, Not Married, Handlers-cleaners, Not-in-family, *, Male, 0, 0, 40, United-States
[17,54), Private, 183930, [HS-Grad,Doctorate], 9, Not Married, Other-service, Own-child, *, Male, 0, 0, 12, United-States
[17,54), Private, 37274, [HS-Grad,Doctorate], 13, Married, Prof-specialty, Husband, *, Male, 0, 0, 65, United-States
[17,54), Local-gov, 181344, [HS-Grad,Doctorate], 10, Married, Exec-managerial, Husband, *, Male, 0, 0, 38, United-States
[17,54), Private, 114580, [HS-Grad,Doctorate], 10, Not Married, Adm-clerical, Not-in-family, *, Female, 0, 0, 40, United-States
[17,54), Private, 633742, [HS-Grad,Doctorate], 10, Not Married, Craft-repair, Not-in-family, *, Male, 0, 0, 45, United-States
[17,54), Private, 286370, [Preschool,12th], 4, Married, Machine-op-inspct, Husband, *, Male, 0, 0, 40, Mexico
[17,54), Federal-gov, 29054, [HS-Grad,Doctorate], 10, Married, Adm-clerical, Husband, *, Male, 0, 0, 42, United-States
[17,54), Private, 304030, [HS-Grad,Doctorate], 9, Married, Adm-clerical, Husband, *, Male, 0, 0, 40, United-States
[17,54), Self-emp-not-inc, 143129, [HS-Grad,Doctorate], 13, Not Married, Exec-managerial, Not-in-family, *, Female, 0, 0, 40, United-States
[17,54), ?, 135105, [HS-Grad,Doctorate], 13, Not Married, ?, Not-in-family, *, Female, 0, 0, 50, United-States
[17,54), Private, 99928, [HS-Grad,Doctorate], 14, Married, Prof-specialty, Wife, *, Female, 0, 0, 50, United-States
[54,90], State-gov, 109567, [HS-Grad,Doctorate], 16, Married, Prof-specialty, Husband, *, Male, 0, 0, 1, United-States
[17,54), Private, 155222, [HS-Grad,Doctorate], 10, Not Married, Machine-op-inspct, Not-in-family, *, Female, 0, 0, 28, United-States
[17,54), Private, 159567, [HS-Grad,Doctorate], 10, Married, Machine-op-inspct, Husband, *, Male, 0, 0, 40, United-States
[17,54), Local-gov, 523910, [HS-Grad,Doctorate], 13, Married, Craft-repair, Husband, *, Male, 0, 0, 40, United-States
[17,54), Private, 120939, [HS-Grad,Doctorate], 10, Married, Tech-support, Husband, *, Male, 0, 0, 45, United-States
[17,54), Federal-gov, 130760, [HS-Grad,Doctorate], 13, Married, Tech-support, Husband, *, Male, 0, 0, 24, United-States
[17,54), Private, 197387, [Preschool,12th], 3, Married, Transport-moving, Other-relative, *, Male, 0, 0, 40, Mexico
[17,54), Private, 99374, [HS-Grad,Doctorate], 10, Not Married, Craft-repair, Not-in-family, *, Male, 0, 0, 40, United-States
[17,54), Federal-gov, 56795, [HS-Grad,Doctorate], 14, Not Married, Exec-managerial, Not-in-family, *, Female, 14084, 0, 55, United-States
[17,54), Private, 138992, [HS-Grad,Doctorate], 14, Married, Prof-specialty, Other-relative, *, Male, 7298, 0, 40, United-States
[17,54), Self-emp-not-inc, 32921, [HS-Grad,Doctorate], 9, Not Married, Sales, Not-in-family, *, Male, 0, 0, 40, United-States
[17,54), Private, 397317, [HS-Grad,Doctorate], 14, Not Married, Prof-specialty, Not-in-family, *, Female, 0, 1876, 40, United-States
[17,54), ?, 170653, [HS-Grad,Doctorate], 9, Not Married, ?, Own-child, *, Male, 0, 0, 40, Italy
[17,54), Private, 259323, [HS-Grad,Doctorate], 13, Married, Exec-managerial, Husband, *, Male, 0, 0, 50, United-States
[17,54), Local-gov, 254817, [HS-Grad,Doctorate], 10, Not Married, Prof-specialty, Not-in-family, *, Female, 0, 1340, 40, United-States
[17,54), State-gov, 48211, [HS-Grad,Doctorate], 9, Not Married, Adm-clerical, Unmarried, *, Female, 0, 0, 35, United-States
[17,54), Private, 140164, [Preschool,12th], 7, Not Married, Sales, Own-child, *, Female, 0, 0, 40, United-States
[17,54), Private, 128757, [HS-Grad,Doctorate], 13, Married, Other-service, Husband, *, Male, 7298, 0, 36, United-States
[17,54), Private, 36270, [HS-Grad,Doctorate], 9, Not Married, Craft-repair, Not-in-family, *, Male, 0, 0, 60, United-States
[54,90], Self-emp-inc, 210563, [HS-Grad,Doctorate], 9, Married, Sales, Wife, *, Female, 15024, 0, 35, United-States
[17,54), Private, 65368, [Preschool,12th], 7, Not Married, Sales, Own-child, *, Female, 0, 0, 12, United-States
[17,54), Local-gov, 160943, [HS-Grad,Doctorate], 9, Married, Transport-moving, Husband, *, Male, 0, 0, 40, United-States
[17,54), Private, 208358, [HS-Grad,Doctorate], 9, Married, Craft-repair, Husband, *, Male, 0, 0, 40, United-States
[17,54), Private, 153790, [HS-Grad,Doctorate], 10, Not Married, Sales, Not-in-family, *, Female, 0, 0, 40, United-States
[54,90], Private, 85815, [HS-Grad,Doctorate], 9, Married, Craft-repair, Husband, *, Male, 0, 0, 40, United-States
[54,90], Self-emp-inc, 125417, [Preschool,12th], 4, Married, Machine-op-inspct, Husband, *, Male, 0, 0, 40, United-States
[17,54), Private, 635913, [HS-Grad,Doctorate], 13, Not Married, Exec-managerial, Not-in-family, *, Male, 0, 0, 60, United-States
[17,54), Private, 313321, [HS-Grad,Doctorate], 12, Not Married, Sales, Not-in-family, *, Female, 0, 0, 40, United-States
[17,54), Private, 182609, [HS-Grad,Doctorate], 13, Married, Sales, Husband, *, Male, 0, 0, 50, Poland
